"filename", "language", "C++", "YAML", "Markdown", "C", "CSS", "HTML", "XML", "SCSS", "GLSL", "Python", "ShaderLab", "Objective-C", "Shell Script", "Batch", "Objective-C++", "reStructuredText", "CMake", "Makefile", "Java", "Rust", "Docker", "C#", "JavaScript", "HLSL", "comment", "blank", "total"
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3DS\3DSConverter.cpp", "C++", 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, 128, 811
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3DS\3DSExporter.cpp", "C++", 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 96, 583
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3DS\3DSExporter.h", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 14, 97
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3DS\3DSHelper.h", "C++", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 109, 588
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3DS\3DSLoader.cpp", "C++", 847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 283, 211, 1341
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3DS\3DSLoader.h", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 56, 289
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3MF\3MFTypes.h", "C++", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 29, 180
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3MF\3MFXmlTags.h", "C++", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 9, 125
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3MF\D3MFExporter.cpp", "C++", 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 64, 404
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3MF\D3MFExporter.h", "C++", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 19, 112
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3MF\D3MFImporter.cpp", "C++", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 17, 127
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3MF\D3MFImporter.h", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 14, 92
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3MF\D3MFOpcPackage.cpp", "C++", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 40, 257
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3MF\D3MFOpcPackage.h", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 13, 85
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3MF\XmlSerializer.cpp", "C++", 570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 108, 725
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3MF\XmlSerializer.h", "C++", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 9, 100
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\AC\ACLoader.cpp", "C++", 625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 108, 865
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\AC\ACLoader.h", "C++", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 50, 271
